CardSort_Unadj,Flanker_Unadj,ProcSpeed_Unadj,WM_Task_2bk_Acc,ListSort_Unadj,PicSeq_Unadj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,AngAffect_Unadj,FearAffect_Unadj,Sadness_Unadj,Relational_Task_Match_Median_RT,Relational_Task_Rel_Median_RT,PicVocab_Unadj,ReadEng_Unadj,Language_Task_Story_Avg_Difficulty_Level,VSPLOT_CRTE,IWRD_RTC,SCPT_TPRT,Endurance_Unadj
112.65,114.61,151.81,81.076,96.99,135.55,22,0,18695.5,54.8,54.4,47.9,1608,2139,125.5795,118.9618,10.607,1107.1666,1300,430,102.8
112.84,99.19,125.64,90.104,108.06,105.63,13,6,6549,65.2,69,55,1311.5,1231.25,104.7913,108.0638,9.667,835.5625,1290,480,101.66
121.8,107.34,133.26,88.542,104.06,96.55,21,0,12617,47.5,46.7,43,1201.5,2155.5,117.5488,111.1091,11.786,1155.8,1529.5,490,95.47
103.17,99.77,126.95,85.937,104.06,101.57,23,0,22080,50.9,58.3,51.2,1786,2329.5,117.5291,119.0812,12.429,1648.7,1337.5,470,131.9
118.18,119.02,104.06,80.729,100.43,88.58,19,0,18980,51,54.4,49.9,1023.5,1289,122.1825,115.0681,10.089,803,1352.5,430,101.51
127.37,121.97,119.98,94.965,126.18,95.39,20,0,11230,69.1,59.8,65.7,1286,1646.5,127.8803,121.5229,8.518,1406.6666,1605,475,132.99
104.92,111.15,93.81,82.639,126.18,125.71,15,4,8550,46,60.7,48.1,1289,1764.25,125.42,121.3,9.304,1215.9148,1277.5,535,107.19
111.43,96.54,111.66,66.667,93.9,104.91,8,11,4875,28.6,32.9,34.2,1521,1988,92.47,108.16,8.333,1001.8182,1677.5,430,94.11
113.22,115.08,118.67,77.431,100.43,95.73,9,10,4220,48.5,32.9,34.2,1946.75,2522.5,119.4713,120.7051,12.571,922.9,1670,430,119.78
111.28,94.48,112.27,92.535,117.39,103.25,21,0,23530,37.9,49.3,34.2,980.5,1136.75,117.913,125.5651,10.179,1016.125,1760,430,106.3
116.47,101.27,104.06,75.868,100.43,102.89,6,13,2945,40.3,51.4,42.9,1243.5,1826.75,110.0955,100.4734,12.286,737.4375,1255,410,111.95
121.88,113.5,102.91,73.437,100.43,100.35,18,1,18205,47.8,56,55,1568.75,2961.25,112.0827,110.6315,10.732,1339.0278,2660,410,124.49
113.81,100.27,112.27,83.507,108.06,135.55,20,0,20610,48.7,43.7,46.1,1287.5,1930.75,126.4283,115.7193,10.786,754.5,1182.5,450,115.63
128.57,112.21,111.11,96.354,112.89,118.8,22,0,14940,55,55.8,55,1317.5,1771,123.2349,135.7199,12.571,1260.8334,1407.5,490,106.3
118,102.6,116.82,60.59,96.99,95.13,7,12,3147,55.8,52.9,43.3,1802.75,2003,126.33,130.74,9.607,859.5089,1365.75,450,105.42
111.36,116.43,117.2,79.688,96.99,94.1,18,1,25523.5,49,52.1,38.9,1839.25,2193,114.9241,119.141,9.304,1361.8365,1967.5,510,133.11
136.1,128.76,154.69,97.569,117.39,125.71,23,0,15890,49.9,57.7,54.3,1158.5,1461.75,137.4778,134.9019,12.429,636.25,1040,480,107.65
123.59,111.68,115.84,87.5,112.89,104.53,18,1,17136.5,45.6,44,48.1,1585.5,2424.25,116.69,118.4,10.679,1087.4286,1217,421,109.72
116.55,137.11,129.73,96.354,117.39,135.55,23,0,20514,48.1,55.8,43.5,1270.5,1886,125.62,135.81,11.661,1360.15,1247.75,451,126.18
120.61,112.75,108.54,91.146,100.43,103.28,10,9,4829.5,37.2,41.1,38.9,1410,1846.25,101.57,111.94,9.482,984.1667,2090,460,108.16
138.87,116.57,107.8,86.111,108.06,104.57,16,3,14245,44.2,50.8,49.4,1344,2095.25,110.8928,124.6814,11.25,1510,1647.5,450,122.41
122.09,104.54,100.57,84.722,108.06,100.18,20,0,20856,46.3,49.3,39,1728.5,2389.5,114.65,115.84,11.25,1147.7024,1693,490,129.11
128.57,106.29,122.72,86.111,108.06,135.55,19,0,13320,49.5,49,46.1,1455.5,1931.75,114.8708,124.5489,11.786,1381.875,1557.5,555,119.45
124.56,114.8,122.72,98.785,117.39,120.32,22,0,9455,59,53.7,48.2,1261.5,1603,129.4895,126.5796,12.304,936.4835,1475,510,131.3
122.94,116.43,124.27,97.569,144.5,125.71,23,0,19490,48.4,46,43,1192.75,1621.5,145.2734,133.721,12.571,1045,1657.5,520,120.38
114.32,108.18,138.72,83.507,130.38,125.71,21,0,32118,50.9,63,50.8,1547.5,1824.5,124.7792,125.7007,11.232,2037,1649.75,440,120.13
115.84,106.89,93.82,89.931,104.06,97.46,14,5,9380,57.1,59.8,62.2,1450.5,1857.75,132.3688,132.7345,8.911,873.5714,1532.5,490,122.12
115.29,114.53,96.52,77.431,133.93,120.32,16,3,11839,47.9,51.2,44.2,1607.5,1583.75,110.61,111.63,9.911,998.5714,1325,470,100.75
108.33,105.63,121.22,60.069,100.43,95.07,6,13,4509.5,49.5,46.9,46.3,1598,2135,116.651,99.92009,8.982,776.6667,1482.5,440,93.09
117.54,125.34,125.02,97.569,121.89,105.63,22,0,24914,54.4,65.6,56.6,1229.5,1535.5,130.71,121.26,11.179,1142.7142,1373.75,490,116.84
103.77,114.61,100.29,88.715,112.89,121.82,22,0,13760,40.4,63.3,48.5,1624,2023.75,114.8764,121.1854,11.179,1155.6666,1567.5,650,108.89
100.6,93.57,138.72,85.069,104.06,97.65,13,6,13180,51.8,54.4,42.4,1517.5,2588.75,105.6663,103.5347,9,996.5,1747.5,530,112.28
